Rank,Ticker,Title,Category,Volume
441,KXSURVIVORMENTION,Survivor Mention,Mentions,1320653
442,KXTRUMPATTEND,Will Trump attend event,Politics,1286071
443,SENATEMI,Michigan Senate race,Politics,1279864
444,KXCLOSEHORMUZ,Strait of Hormuz,Politics,1222179
445,KXSAVEACT,Will the SAVE Act become law?,Politics,1184052
446,KXTRUMPADMINLEAVE,Who will leave the Trump administration,Politics,1175188
447,KXDHSFUNDING,When will DHS receive full-year funding?,Politics,1057472
448,KXUSAIRANAGREEMENT,US Iran nuclear deal,Politics,1032409
449,KXFBUSTER,Filibuster change this year?,Politics,956639
450,SENATEMT,Montana Senate race,Politics,869757
451,KXGREENLANDPRICE,How much will Greenland be acquired for?,Politics,867427
452,KXBILLSCOUNT,Bills signed monthly,Politics,851250
453,KXNGUARDCITY,Which Cities will Trump deploy the national guard in,Politics,812808
454,KXWARSHNOM,When will the Senate receive Warsh's nomination?,Politics,800523
455,KXLEAVESTARMER,Keir Starmer out?,Politics,756376
456,KXVOTEHUBTRUMPUPDOWN,Trump approval up or down this week,Politics,744295
457,KXNOEMOUT,Kristi Noem out as DHS secretary?,Politics,738601
458,KXCABLEAVE,Cabinet member leaving,Politics,735994
459,KXTRUMPUFC,Trump attend another UFC event this year,Politics,675410
460,KXNEWROLEX,X NEW CEO,Companies,577981
461,KXMARALAGO,Who will visit Mar-a-Lago this year? ,Politics,551772
462,KXFEDERALCHARGE,Who will be charged with a federal crime,Politics,551674
463,KXUSAEXPANDTERRITORY,Will the US acquire new territory?,Politics,548015
464,KXGOVOHNOMR,OHIO Governor Republican nominee,Politics,544645
465,SENATEMD,Maryland Senate race,Politics,531457
466,KXSTATE51,51st state ,Politics,517834
467,KXSCOURT,Next SCOTUS justice,Politics,492679
468,KXCANAL,Panama Canal retaken,Politics,484666
469,KXMNDAYCARECHARGE,Will anyone be charged in the Minnesota daycare fraud scandal?,Politics,475218
470,KXTARIFFRATEPRC,Tariff rate China,Politics,470653
471,KXPAHLAVIHEAD,Will Pahlavi lead Iran?,Companies,429964
472,KXGOVMNNOMD,Minnesota Democratic nominee for Governor,Politics,428787
473,KXGA14S,Who will win the GA-14 special election?,Politics,426490
474,KXSCOTUSN,New Supreme Court Justice,Politics,421566
475,KXRECOGPERSONIRAN,Recognize Reza Pahlavi,Politics,420365
476,KXFEDCHAIRCONFIRMED,Will Trump's Fed Chair pick be confirmed?,Politics,410652
477,KXPAHLAVIVISITA,Will Reza Pahlavi enter Iran before September?,Politics,401420
478,HOUSEAKAL,House Alaska at-large,Politics,390964
479,KXTARIFFREFUND,Tariff refund,Politics,382861
480,KXCRYPTOSTRUCTURE,Crypto market structure,Politics,380375
481,KX2028DRUN,2028 D running,Politics,380324
482,KXELECTIONBILL,Will proof of citizenship be required for federal voter registration?,Politics,375906
483,KXABRAHAMSY,Syria recognition,Politics,370974
484,KXTRUTHSOCIAL,Number of Trump Truth Social posts this week?,Politics,367963
485,KXMTPMENTION,Meet The Press,Mentions,363138
486,KXRELEASEMAXWELL,Ghislaine,Politics,341901
487,KXSUPERBOWLWHITEHOUSE,WILL THE WINNERS OF THE PRO FOOTBALL CHAMPIONSHIP GO TO THE WHITE HOUSE? ,Politics,339632
488,KXTRDBAN,Congress banned from trading stocks,Politics,320034
489,KXRHOUSESEATS,Republican house seats,Politics,315420
490,KXFEDGOVNOM,Fed governor nominee,Politics,304670
491,KXMAYORLA,LA,Politics,298818
492,KXCOSTARICAPRES,Costa Rica presidency,Politics,296528
493,KXCITRINI,Will the Citrini scenario materialize?,Politics,290016
494,GOVPARTYNH,New Hampshire Governor,Politics,284865
495,KXCAWEALTHTAX,Will the California billionaire wealth tax initiative pass?,Politics,284483
496,KXMUSKOAI,Elon Win vs Open AI,Politics,279479
497,KXTRUMPREMOVE,Trump removed,Politics,266077
498,KXZELENSKYPUTIN,Zelensky and Putin in Trump's term,Politics,263752
499,GOVPARTYCA,California Governor,Politics,262251
500,KXCCLIMIT,Credit card limits capped,Politics,261022
501,KXVISITVENEZUELA,Who will visit Venezuela?,Politics,260287
502,KXDSENATESEATS,Democratic Senate seats,Politics,251765
503,KXPRESPARTY,Party winning presidency,Politics,245396
504,KXTHAILANDHOUSE,Thailand House of Representatives,Politics,242316
505,KXBILLS,Bills become law this year?,Politics,235547
506,HOUSEIA1,House IA 1,Politics,232069
507,HOUSECA27,House California 27th,Politics,231831
508,KXVETOCOUNT,Trump vetoes,Politics,230991
509,KXUSACOMPANYSTAKE,Which companies will the US take a stake in,Companies,230589
510,GOVPARTYNY,New York Governor,Politics,212472
511,KXVENEZUELALEADER2,Who will be the head of state of Venezuela on date?,Politics,206321
512,GOVPARTYDE,Deleware Governor,Politics,205485
513,KXSENATEILD,ILD,Politics,204537
514,KXTRUMPCOUNTRIES,What countries will Trump visit this year?,Politics,198615
515,KXABRAHAMSA,Abraham Accord Saudi Arabia,Politics,198353
516,GOVPARTYNC,North Carolina,Politics,197844
517,KXTRUMPFIRE,Trump firings,Politics,190952
518,KXCONGESTIONEND,Congestion pricing ending,Politics,190008
519,KXDIAZOUT,Miguel Díaz-Canel out?,Politics,189534
520,GOVPARTYAZ,Arizona Governor,Politics,187195
521,KXAMEND22,22nd Amendment,Politics,185267
522,KXSENATENCR,North Carolina Republican Senate nominee,Politics,178700
523,KXTRUMPMEETING,Who will Trump meet this year?,Politics,176486
524,KXTAXWAIVE,Taxes waived,Politics,175127
525,KXLEAVEPOWELLGOV,jerome powell leave as Fed governor,Politics,173880
526,KXGOVNYNOMD,New York Governor Democratic nominee,Politics,172017
527,KX2028RRUN,2028 R running,Politics,171792
528,HOUSEAZ6,House AZ 6,Politics,165707
529,KX14AMENDCASE,Trump birthright citizenship case,Politics,165408
530,HOUSECO8,House CO 8,Politics,165398
531,SENATEME,Maine Senate race,Politics,164814
532,KXNEWSCOTUSCONF,SCOTUS confirmations,Politics,164271
533,GOVPARTYMN,Minnesota Governor,Politics,163969
534,KXELECTVENEZUELA,Will Venezuela hold a presidential election?,Politics,162460
535,SENATENC,North Carolina Senate race,Politics,161708
536,KXAGENCYELIM,Agencies eliminated,Politics,161387
537,KXTRUMPPARDONS,Who will Trump pardon?,Politics,159232
538,KXSOTHLEAVE,Speaker of the House leaving,Politics,158337
539,SENATEAK,Alaska Senate race,Politics,154571
540,KXTRUMPRESIGN,Trump resign,Politics,151547
541,KXRETIREMM,Mitch McConnell resigning,Politics,150682
542,KXVACCINEREC,Vaccine rec ended,Politics,147606
543,KXSCHUMEROUT,Will Schumer no longer be Senate Minority leader,Politics,144183
544,SENATEGA,Georgia Senate race,Politics,143991
545,KXPARDONSTRUMP,Trump pardons monthly,Politics,141081
546,KXTRYFIREPOWELL,try to fire powell,Politics,140693
547,KXRECCOUNT,Reconciliation count,Politics,136532
548,SENATEOHS,Special Senate election in Ohio,Politics,134120
549,KXSENATEMID,MID,Politics,131185
550,KXRETIREPELOSI,Will Nancy Pelosi retire,Politics,127312
551,KXGOVCAPRIMARY,CA primary,Politics,127134
552,KXTAIWANLVL4,Will Taiwan be issued a Level 4 travel warning?,Politics,123738
553,GOVPARTYOH,Ohio Governor,Politics,121707
554,KXCALLIMPEACHRCONGRESS,Republican Congressman impeachment,Politics,121445
555,KXPOPEVISIT,What countries will Pope Leo visit before 2027?,Politics,119523
556,KXCRYPTOCAPGAIN,Crypto cap gains,Politics,119268
557,KXGREENIND,Greenland independence,Politics,117739
558,KXH1B,H1B cap lifted,Politics,117583
559,KXTRUMPACT,Will Trump do anything today?,Politics,116352
560,KXSENATEGAR,Georgia Republican Senate nominee,Politics,115252
561,KXATF,ATF Director,Politics,114669
562,KXFEDEND,Fed ended,Politics,112114
563,KXVPBREAKS,VP tiebreaks,Politics,107305
564,SENATEIA,Iowa Senate race,Politics,104709
565,GOVPARTYMI,Michigan Governor,Politics,103680
566,KXCOLOMBIAPRES,Colombia presidency,Politics,103359
567,KXVETOOVERRIDE,Veto override,Politics,102764
568,KXRECOGPALESTINE,Palestine recognition,Politics,102265
569,KXGOVMNNOMR,Who will be the Republican nominee for Governor in Minnesota,Politics,102252
570,KXCANTERRITORY,Canadian acquisition,Politics,99817
571,KXRUNBYMIDTERM,who will run for office before the midterms,Politics,98442
572,KXSENATEDEMLEAD,Who will win the next Senate Democratic Leader election?,Politics,98030
573,KXUSMDLFRDM, Presidential Medal of Freedom,Politics,93203
574,SENATEMO,Missouri Senate race,Politics,91909
575,KXACTORAWARDSATTEND,WHO WILL ATTEND THE ACTOR AWARDS,Politics,86580
576,KXDISAPPROVETARIFF,Will the House vote to disapprove tariffs?,Politics,84105
577,KXMAINE94,Maine 94th House District winner?,Politics,83240
578,KXGOVGANOMR,Georgia Governor Republican nominee,Politics,83095
579,GOVPARTYIA,iowa Governor,Politics,82648
580,KXIMPEACHCABINET,Impeach a member of Trump's cabinet,Politics,82284
581,KXGOVNYNOMR,New York Governor Republican nominee,Politics,81131
582,KXSENATEFLR,Florida Republican Senate nominee,Politics,79853
583,KXSENATEKYR,KYR,Politics,79505
584,KXMTGSWITCH,MTG party switch,Politics,78645
585,KXKANYEISRAEL,WILL KANYE VISIT AREA?,Politics,78552
586,KXDATASET13,Will the DOJ release Data Set 13 (Epstein files)?,Politics,78186
587,KXCONGRESSTESTIFY,Congress Testify this year?,Politics,78143
588,KXHFHOUSING,Bill taxing/banning hedge funds owning single-family homes,Politics,78116
589,KXTARIFFRATEINDIA,Tariff Rate on India,Politics,77001
590,HOUSEME2,House Maine 2nd,Politics,76892
591,KXOBERGEFELL,Obergefell,Politics,76486
592,GOVPARTYWA,Washington Governor,Politics,76132
593,KXCOMPANYSTAKERYANAIR,Ryanair,Companies,75895
594,KXBOYCOTTWC,Boycott WC,Politics,75729
595,KXGOVSCNOMR,South Carolina Republican nominee,Politics,74483
596,KXUAPFILES,UAP files,Politics,74000
597,KXTXSENATETURNOUTGOPMINUSDEM,Texas Senate primary turnout: GOP vs Dem?,Politics,73258
598,KXABRAHAMQ,Abraham Accord Qatar,Politics,72365
599,KXUSMINE,US mining Bitcoin,Politics,70958
600,KXTRUMPAPPROVALBELOW,How low will Trump's approval get this year?,Politics,69497
601,HOUSENE2,House Nebraska 2nd,Politics,68206
602,KXG7LEADEROUT,Next G7 leader out,Politics,65880
603,KXPARTYLEAVE,Congress party change,Politics,64469
604,KXSWENCOUNTERS,SW border encounters,Politics,63946
605,KXTRUMPAPPROVALYEAR,How high will Trump's approval get this year?,Politics,63288
606,KXBILLCONTEMPT,Will the House find Bill Clinton in contempt of Congress?,Politics,63230
607,KXBRBALLOT,Candidates in Brazilian first round,Politics,63125
608,KXACAHSAFSA,Will a bill pass to let ACA enrollees put subsidies into HSAs/FSAs this year?,Politics,61257
609,KXNEWPOPE,New Pope,Politics,61151
610,KXTRUMPRUN,Trump run for a third term,Politics,60432
611,KXAGENCIES,Agencies cut,Politics,60201
612,KXDOJPARDONS,DOJ pardon claim,Politics,59402
613,KXNYTHEAD,Major news story this month?,Politics,58721
614,HOUSECA41,House California 41st,Politics,58129
615,SENATELA,Kentucky Senate race,Politics,56699
616,SENATENH,New Hampshire Senate race,Politics,56465
617,KXTALARICOPRIMARYCOUNTIES,Which counties will James Talarico win in the Texas Dem primary?,Politics,56101
618,KXGOVAZNOMR,Arizona Governor Republican nominee,Politics,55758
619,KXTAYLORSWIFTWEDDINGATTEND,Who will attend Taylor Swifts wedding,Politics,52603
620,HOUSENY19,House NY 19,Politics,51589
621,KXCA11PRIMARY,CA-11 primary,Politics,51186
622,KXDHOUSESEATS,Democratic House seats,Politics,50643
623,KXPERUPRES,Peru Presidency,Politics,50455
624,KXSNAPELECTIONFR,French Snap Election,Politics,50410
625,KXFREYOUT,Jacob Frey out as Mayor of Minneapolis?,Politics,50141
626,KXELONMARS,Elon Mars,Politics,49923
627,KXCOSTARICAASSEMBLY,Costa Rica legislative assembly,Politics,49910
628,KXSTATE,51st US state,Politics,49765
629,GOVPARTYOK,Oklahoma Governor,Politics,49289
630,HOUSEOR5,House OR 5,Politics,49159
631,KXGOVGANOMD,Georgia Governor Democratic nominee,Politics,49141
632,GOVPARTYNV,Nevada Governor,Politics,48660
633,KXUSCLIMATE,US climate goals,Climate and Weather,47939
634,KXLUTNICKOUT,Howard Lutnick out as Commerce Secretary?,Politics,47578
635,KXSCOTUSRESIGN,SCOTUS members resigning,Politics,46976
636,KXACAREPEAL,ACA repeal,Politics,46884
637,KXVOTEFEDCHAIR,Which Senators will vote for the next Fed Chair nominee?,Politics,46681
638,KXFEDCHAIRCOUNT,How many Senators will vote for Trump's Fed Chair pick?,Politics,46255
639,KXWHPRESSBRIEFING,Who will attend a White House Press Briefing?,Politics,46024
640,KXSENATELAR,LAR,Politics,45933
641,HOUSEPA10,House Pennsylvania 10th,Politics,45021
642,KXSENATEMND,Minnesota Democratic Senate nominee,Politics,44883
643,KXSENATENHR,New Hampshire REpublican Senate nominee,Politics,44512
644,HOUSEAZ1,House Arizona 1st,Politics,44166
645,HOUSEIA3,House IA 3,Politics,43970
646,KXTARIFFRATECAN,tariff rate canada,Politics,43020
647,KXFTAPRC,PRC FTA,Politics,42596
648,KXDEMOCRACYUS,US democratic backsliding,Politics,42460
649,KXSENATENCD,North Carolina Democratic Senate nominee,Politics,42436
650,SENATEID,Idaho Senate race,Politics,41738
651,KXNEPALHOUSE,Nepal House of Representatives winner,Politics,41160
652,KXALBERTAREFYES,Alberta referendum succeeds,Politics,40762
653,KXLOSEPRIMARYHOUSER,How many House Republicans will lose their primaries?,Politics,40190
654,KXFEDDC,Will DC be federalized?,Politics,40023
655,KXFLIGHTSRUSSIA,Flights Russia,Politics,39909
656,KXHILLARYCONTEMPT,Will the House find Hillary Clinton in contempt of Congress?,Politics,39635
657,KXPOPCHANGENYC,Mamdani population change in NYC ,Politics,38905
658,KXESDEEKID,Timothée Chalamet is secretly the English rapper EsDeeKid,Politics,38859
659,SENATETN,Tennessee Senate race,Politics,38613
660,KXBALANCE,Balanced budget,Politics,38591
661,GOVPARTYIN,Indiana Governor,Politics,38546
662,SENATEMN,Minnesota Senate race,Politics,38210
663,KXELECTFRAUD,Election Fraud,Politics,38055
664,HOUSEPA7,House Pennsylvania 7th,Politics,38025
665,KXTRUMPSTATES,Which states will Trump visit this year?,Politics,37839
666,HOUSENC1,House NC 1,Politics,37390
667,KXTRAVELDOWNGRADE,Which countries will receive a lower US Travel Advisory level in 2026?,Politics,37182
668,KXGOVMENOMR,Maine Governor Democratic nominee,Politics,37018
669,KXVISITNYC,Who will visit NYC,Politics,37008
670,KXGOVWINOMD,Gov WI Nom D,Politics,36895
671,HOUSEWA3,House Washington 3rd,Politics,36421
672,KXGOVAK,Alaska governor,Politics,36334
673,KXGOVCAPRIMARYPARTY,Who will advance from the CA Governor primary? (Party),Politics,36064
674,HOUSEVA7,House Virginia 7th,Politics,35529
675,KXAGNOMTXR,GOP nominee for AG in Texas?,Politics,35488
676,KXTREASBLOCKCHAIN,Treasury transaction on blockchain,Politics,35068
677,KXGOVMINOMR,Michigan Governor Republican nominee,Politics,34969
678,KXNYCTAXBILLIONS,Will Mamdani tax billionaires before 2027?,Politics,34075
679,KXGOVIANOMR,Gov IA Nom R,Politics,33426
680,KXGOVMINOMD,Michigan Governor Democratic nominee,Politics,33040
681,KXPERSONPRESFUENTES,Nick Fuentes Becoming President,Politics,32989
682,SENATEFLS,Special Senate election in Florida,Politics,32708
683,KXNATIONALIZESPACEX,Nationalize SpaceX,Politics,32573
684,KXSENATEOHSD,Ohio Democratic Senate nominee,Politics,32417
685,HOUSECA22,House California 22nd,Politics,32191
686,GOVPARTYTX,Texas Governor,Politics,32029
687,KXAMBMALAY,Nick Adams,Politics,31993
688,KXGOVOHNOMD,Ohio Governor Democratic nominee,Politics,31930
689,KXSENATEMNR,MNR,Politics,31863
690,KXNYCCORPORATETAX,Will Mamdani raise corporate taxes before 2027?,Politics,31677
691,KXCONSTAMEND,New constitutional amendment,Politics,30956
692,KXHUNGARYPARLI,Hungary parliament,Politics,30737
693,KXSENATEALR,ALR,Politics,30667
694,KXAMEND25,25th Amendment,Politics,30408
695,KXIMPEACHJUDGE,Impeach judge,Politics,30339
696,KXSECSTATEVISIT,Secretary of State visits,Politics,29701
697,SENATENJ,New Jersey Senate race,Politics,28879
698,SENATEKS,Kansas Senate race,Politics,28786
699,KXNORDSTREAM2,Nord Stream 2 ,Politics,28726
700,KXCA40PRIMARYADVANCE,Who will advance from the CA-40 primary?,Politics,28354
701,KXAKSENATE,Who will win the Alaska Senate race?,Politics,28228
702,KXGOVMENOMD,Maine Governor Democratic nominee,Politics,28184
703,KXVISITGREENLAND,Who will visit Greenland?,Politics,28058
704,KXSUEPOWELL,Will Trump sue Jerome Powell?,Politics,27937
705,KXSENATEOHSR,Ohio Republican Senate nominee,Politics,27699
706,HOUSEPA8,House Pennslyvania 8th,Politics,27571
707,KXMARTIAL,Martial law,Politics,27058
708,KXVIRGINIAREDISTRICTING,Will the Virginia Redistricting Referendum pass?,Politics,27029
709,KXNYCCHILDCARE,Will Mamdani establish universal child care before 2027?,Politics,26449
710,KXKAMALAGOV,Kamala gov ,Politics,26066
711,KXSENATECONFIRM,Who will the Senate confirm?,Politics,25562
712,GOVPARTYFL,Florida Governor,Politics,25541
713,KXSYRIA,Syria embassy,Politics,25135
714,KXSNAPUK,UK snap election announced before 2027,Politics,25079
715,KXLOSEPRIMARYHOUSED,How many House Democrats will lose their primaries?,Politics,24488
716,KXSENATESCR,SCR,Politics,24236
717,KXSCOTUSVRA2,SCOTUS strikes down VRA section 2,Politics,24152
718,KXNYCGROCERY,NYC grocery story,Entertainment,23813
719,GOVPARTYPA,Pennsylvania Governor,Politics,23754
720,KXCONTEMPT,Trump Admin in contempt this year?,Politics,23538
721,KXSCOTUSMARIJUANAGUN,SCOTUS Marijuana gun ban,Politics,23526
722,KXPARISMAYOR,Who will win the Paris mayoral election?,Politics,23507
723,KXSANCTIONRUSSIA,Will a bill sanctioning Russia become law?,Politics,23414
724,GOVPARTYMA,Massachusetts Governor,Politics,23372
725,KXMAYORCHI,chicago,Politics,23231
726,KXSENATEFLD,Florida Democratic Senate nominee,Politics,23020
727,SENATESC,South Carolina Senate race,Politics,22974
728,KXTRUMPSLAUGHTERVOTE,SCOTUS vote in Trump vs Slaughter,Politics,22735
729,KXFULLLIDBEFORE630PM,Will the White House Press Office call a full lid before 6:30PM?,Politics,22213
730,HOUSENY4,House New York 4th,Politics,22169
731,KXGOVKSNOMD,Kansas Governor nominee Democratic,Politics,21854
732,GOVPARTYWI,Wisconsin Governor,Politics,21841
733,KXMUSKNASA,Musk NASA contracts,Politics,21825
734,KXFTA,Any free trade agreement ,Politics,21529
735,KXCOLOMBIAPARLI,Who will win the Colombian parliamentary election?,Politics,21369
736,KXFEDLEADJUNE,Who will chair the June FOMC meeting?,Politics,21220
737,KXGOVNMNOMD,NM Gov Democratic nominee,Politics,20737
738,KXEOTRUMPTERM,EOs in Trump's second term,Politics,20686
739,KXBONDIOUT,Pam Bondi out as Attorney General?,Politics,20539
740,KXSCOTUSVRARELEASE,When will the Supreme Court issue an opinion on the Voting Rights Act?,Politics,20393
741,KXSENATEMER,MER,Politics,20339
742,KXNEWROLECEOAPPLE,Next Apple CEO,Companies,19862
743,GOVPARTYGA,Georgia Governor,Politics,19837
744,KXGOVILNOMR,Gov IL Nom R,Politics,19769
745,SENATEIN,Indiana Senate race,Politics,19433
746,KXFREEBUSES,Will NYC buses become free before 2027?,Politics,19102
747,KXPOILIEVREOUT,poilievre out as leader,Politics,18767
748,KXJOINREFORM,Who will join Reform UK?,Politics,18760
749,KXHUNGARYPARLIPARTY,Which party will win the Hungary parliamentary elections?,Politics,18735
750,KXEUEXIT,EU exit,Politics,18657
751,KXAMAZONFTC,Courts consider Amazon a monopoly,Politics,18581
752,KXSENATEMAD,MAD,Politics,18521
753,HOUSEMI7,House Michigan 7th,Politics,18411
754,KXWALESPARLIAMENT,Who will win the Wales parliament election?,Politics,18164
755,KXCOLOMBIACHAMBER,Colombia Chamber of Representatives,Politics,18132
756,KXMUSKCHALLENGERS,Musk challengers,Politics,17993
757,KXHOUSEPOPVOTEMARGIN,National House popular vote margin?,Politics,17948
758,KXSCOTREF,New Scottish referendum,Politics,17897
759,KXTRUMPSUE,Who will Trump sue?,Politics,17733
760,SENATENM,New Mexico Senate race,Politics,17643
761,KXGOVORNOMR,Gov OR Nom R,Politics,17569
762,KXAOCSENATE,AOC Senate,Politics,17409
763,HOUSEMI8,House Michigan 8th,Politics,16896
764,KXKXSENATEIAD,IAD,Politics,16835
765,KXALITOOUT,Will Justice Alito retire?,Politics,16534
766,SENATEVA,Virginia Senate race,Politics,16528
767,KXNEXTDHSSEC,Next DHS Sec,Politics,16501
768,KXSNAPRESTRICT,Bill limiting food SNAP benefits can buy,Politics,16409
769,HOUSETX28,House TX 28,Politics,16363
770,KXPERSONPRESMAM,MAMDANI,Politics,16306
771,KX250DOLLARBILL,Trump-faced $250 bill by 2027?,Politics,16197
772,GOVPARTYKY,KY Gov,Politics,15613
773,KXDCEILEND,Debt ceiling abolished,Politics,15569
774,HOUSECA3,House CA3,Politics,15527
775,KXSCOTUSPOWER,Supreme Court makeup,Politics,15493
776,KXFIRSTPRIMARYD,First Primary democrats,Politics,15285
777,KXDCMAYORD,Who will win the Democratic primary for DC Mayor?,Politics,15150
778,KXVISITMN,Who will visit Minnesota?,Politics,15064
779,HOUSECA40,House CA 40,Politics,14963
780,KXSANDERSPRES,Bernie Sanders Run For President,Politics,14781
781,KXELEANORRUN,Eleanor Holmes Norton run for reelection,Politics,14776
782,HOUSETX34,House TX 34,Politics,14514
783,GOVPARTYOR,Oregon Governor,Politics,14312
784,KXGOVPARTYAK,Alaska Governor,Politics,14127
785,KXBRICS,Brics,Politics,14103
786,KXMETGALA,WHO WILL ATTEND THE MET GALA,Politics,14088
787,KXSUPERSONIC,SuperSonic ban ended,Politics,13951
788,KXRECOGSOMALI,Somaliland recognition,Politics,13619
789,HOUSENJ7,House NJ 7,Politics,13586
790,KXTRUMPPARDONFAMILY,Trump pardons his family,Politics,13523
791,KXNYCDEPTSAFETY,Will Mamdani establish a Department of Community Safety before 2027?,Politics,13315
792,SENATEMS,Mississippi Senate race,Politics,13292
793,KXXITAIWAN,Will Xi Jinping visit Taiwan?,Politics,13248
794,HOUSEVA2,x,Politics,13165
795,KXTURKEYPRES,Winner of next Turkish presidential election,Politics,12953
796,KXSEOULMAYOR,Who will win the Seoul mayoral election?,Politics,12860
797,SENATEWY,Wyoming Senate race,Politics,12641
798,KXNYCTAXMILLIONS,Will Mamdani tax incomes over $1M ,Politics,12491
799,KXTRUMPSNL,Trump on SNL,Politics,12339
800,KXRECOGROC,Trump recognize Taiwan,Politics,12193
801,KXGOVAKPRIMARY,AK primary,Politics,12162
802,KXSENATEVAR,Virginia republican senate winner,Politics,12148
803,KXMARSEILLEMAYOR,Who will win the Marseille mayoral election?,Politics,12113
804,KXGOVFLNOMD,Florida Governor Democratic nominee,Politics,12085
805,KXWITHDRAW,U.S. withdrawing from international organizations,Politics,12005
806,KXNEXTDEF,Next Defense Sec,Politics,11962
807,KXCALIFORNIALEAVE,Who will leave California before 2027?,Politics,11902
808,GOVPARTYCO,Colorado Governor,Politics,11880
809,KXSTOCKBANHOUSE,House passes bill to ban stock trading,Politics,11735
810,KXZELENSKYYOUT,Volodymyr Zelenskyy out as President of Ukraine?,Politics,11671
811,KXTRUMPVSLAUGHTER,Will the Supreme Court overturn Humphrey's Executor?,Politics,11650
812,KXGOVPANOMR,PA Gov Republican nominee,Politics,11476
813,KXTRUMPPRES,Trump family nominee in 2028,Politics,11276
814,KXCAQLEADER,Who will win the next CAQ leadership election?,Politics,11009
815,KXGOVOKNOMR,Gov OK Nom R,Politics,10765
816,KXDEMPROGRESSIVESENATESWEEP,Progressives sweep Dem Senate Primaries?,Politics,10706
817,KXTRANSGENDERSPORTSBAN,Will the Supreme Court uphold transgender sports bans?,Politics,10696
818,SENATERI,Rhode Island Senate race,Politics,10517
819,KXGOVTXNOMD,Gov TX Nom D,Politics,10328
820,KXFULLTERMSKPRES,Full term SK Pres,Politics,10327
821,HOUSETX15,House TX 15,Politics,10287
822,KXLEAVEDUNN,Neal Dunn leaves office before the midterms?,Politics,10083
823,KXGOVCONOMD,Gov CO Nom d,Politics,10017
824,KXNYCMINWAGE,Will Mamdani raise the minimum wage to $30 before 2027?,Politics,9959
825,KXAUSTRALIAHOUSE,Australia House elections,Politics,9944
826,KXDEMCOREFOURSENATESWEEP,Will Democrats sweep the Core Four senate races in 2026?,Politics,9929
827,KXGOVMDNOMR,Gov MD Nom R,Politics,9902
828,KXGOVWYNOMR,Gov WY Nom R,Politics,9865
829,KXEUEXITCOUNTRY,EU countries exiting,Politics,9715
830,KXMACRONOWENSLONG,Macron vs Owens,Politics,9655
831,KXUSFUNDHEAD,US Sovereign wealth fund,Politics,9576
832,KXGOVSDNOMR,Gov SD Nom r,Politics,9428
833,KXGOVNHNOMD,Gov NH Nom D,Politics,9415
834,KXUSFUND,US Sovereign wealth fund,Politics,9399
835,KXSENATEIAR,IAR,Politics,9365
836,KXMUSKPRIMARY,Musk primarying,Politics,9252
837,KXGOVKSNOMR,KS Governor Republican nom,Politics,9208
838,GOVPARTYMT,Governor Montana,Politics,8970
839,KXLOSEPRIMARYSENATER,How many Senate Republicans will lose their primary?,Politics,8939
840,KXWA4PRIMARY,WA 4 Primary,Politics,8867
841,KXAGNOMTXD,Democratic nominee for AG in Texas?,Politics,8866
842,KXNUMSHUTDOWNS,Number of government shutdowns?,Politics,8770
843,KXSENATEVAD,VAD,Politics,8712
844,KXBARIWEISSOUT,Bari Weiss out at CBS News?,Politics,8602
845,GOVPARTYAL,Alabama Governor,Politics,8529
846,KXNEXTSPEAKER,Next House speaker,Politics,8529
847,GOVPARTYNM,New Mexico Governor,Politics,8481
848,KXBULGARIAPRES,Who will win the 2026 Bulgarian presidential election?,Politics,8468
849,KXLOSEPRIMARYSENATED,How many Senate Democrats will lose their primary?,Politics,8394
850,KXLEAVEGONZALES,Will Tony Gonzales leave Congress before the Midterms?,Politics,8342
851,SENATEWV,West Virginia Senate race,Politics,8284
852,KXGOVWINOMR,Wisconsin Republican Governor Nomination,Politics,8254
853,SENATECO,Colorado Senate race,Politics,8242
854,KXPARDONSYEAR,How many pardons will be issued by the President in the year?,Politics,8206
855,GOVPARTYME,maine Governor,Politics,8080
856,GOVPARTYMO,Missouri Governor,Politics,7989
857,KXMTRUSHMORE,Mt. Rushmore,Politics,7938
858,KXGAVOTECHARGE,Will anyone be federally charged in connection with the 2020 election in Georgia?,Politics,7849
859,KXUSMCA,USMCA withdrawal,Politics,7842
860,HOUSEFL23,House FL 23,Politics,7707
861,KXBANTRANS,BANTRABNS,Politics,7646
862,KXDEPORTATIONS,How many people will be deported in the USA?,Politics,7644
863,KXDEMSENATEPRIMARYCOMBO,Will a subset of the following Democratic Senate candidates win their primary?,Politics,7638
864,KXUNSEC,UN seceretary,Companies,7637
865,SENATEND,North Dakota Senate race,Politics,7585
866,HOUSEIN1,House IN's 1st,Politics,7518
867,KXHOUSETX35,Who will win TX-35,Politics,7514
868,SENATEUT,Senate race Utah,Politics,7466
869,KXSENATEKSD,KSD,Politics,7393
870,KXBADWUR,Baden-Württemberg Parliamentary Election Winner,Politics,7387
871,GOVPARTYCT,Connecticut Governor,Politics,7296
872,KXLEAVETISCH,Jessica Tisch leave office,Politics,7159
873,KXHOUSETX32,Who will win TX-32,Politics,7126
874,GOVPARTYVT,Vermont Governor,Politics,7055
875,KXLONDONMAYOR,Who will win the 2028 London mayoral election?,Politics,7053
876,GOVPARTYWV,West Virginia Governor,Politics,7036
